EventId,EventTemplate
e4377,generating <*> 
e4377,generating <*> 
e4377,generating <*> 
e5455,<*> <*> point alignment exceptions 
e4377,generating <*> 
e3257,Node card is not fully functional 
e4377,generating <*> 
e2829,iar <*> dear <*> 
e2325,CE sym <*> at <*> mask 0x<*> 
e4377,generating <*> 
e5882,instruction address: 0x00004ed<*> 
e2829,iar <*> dear <*> 
e2846,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*>: Link has been severed 
e4377,generating <*> 
e2288,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr. 
e2829,iar <*> dear <*> 
e2829,iar <*> dear <*> 
e2052,data <*> search parity error detected. attempting to correct 
e4377,generating <*> 
e9456,<*> <*> errors(s) detected and corrected on rank <*> symbol <*> bit <*> 
e2829,iar <*> dear <*> 
e4377,generating <*> 
e2742,ciod: Error <*> node map from file /p/gb2/cabot/miranda/newmaps/8k_128x64x1_8x4x4.map: No child processes 
e9456,<*> <*> errors(s) detected and corrected on rank <*> symbol <*> bit <*> 
e9096,exception syndrome register: 0x<*> 
e4377,generating <*> 
e4377,generating <*> 
e4377,generating <*> 
e4377,generating <*> 
e5455,<*> <*> point alignment exceptions 
e1607,instruction cache parity error corrected 
e4377,generating <*> 
e3257,Node card is not fully functional 
e4377,generating <*> 
e2829,iar <*> dear <*> 
e8164,<*> <*> interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts <*> microseconds max time in a critical input interrupt. 
e4377,generating <*> 
e4377,generating <*> 
e2468,data TLB error interrupt 
e5455,<*> <*> point alignment exceptions 
e1607,instruction cache parity error corrected 
e5455,<*> <*> point alignment exceptions 
e9456,<*> <*> errors(s) detected and corrected on rank <*> symbol <*> bit <*> 
e1923,Lustre mount FAILED : <*> : point /p/gb<*> 
e1502,ciod: Error reading message prefix on CioStream socket to <*> Connection timed out 
e7636,force load/store alignment...............<*> 
e8164,<*> <*> interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts <*> microseconds max time in a critical input interrupt. 
e2240,data <*> interrupt <*> by icbi.........<*> 
e4377,generating <*> 
e1725,<*> <*> alignment exceptions 
e2228,program interrupt: imprecise exception......<*> 
e5455,<*> <*> point alignment exceptions 
e1874,ciod: generated <*> core files for program <*> 
e4377,generating <*> 
e8164,<*> <*> interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts <*> microseconds max time in a critical input interrupt. 
e2829,iar <*> dear <*> 
e1028,<*> <*> EDRAM error(s) (dcr 0x0157) detected and corrected 
e4377,generating <*> 
e4377,generating <*> 
e2468,data TLB error interrupt 
e2105,ciod: LOGIN chdir(/bgl/apps/SWL/performance/MINIBEN///<*>.<*>.<*>-<*>.<*>.<*>) failed: No such file or directory 
e1146,idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr* BglCtlPavTrace*) 
e4377,generating <*> 
e4377,generating <*> 
e4377,generating <*> 
e2288,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr. 
e1347,ciod: <*> packet from node <*>.<*> (R62-M1-Nf-C:J03-U11) message code <*> is not <*> or <*> (softheader=003b005b <*> <*> <*>) 
e4377,generating <*> 
e4377,generating <*> 
e1725,<*> <*> alignment exceptions 
e4377,generating <*> 
e2775,ciod: Error loading <*> invalid or missing program image No such file or directory 
e1725,<*> <*> alignment exceptions 
e4377,generating <*> 
e4377,generating <*> 
e5455,<*> <*> point alignment exceptions 
e1725,<*> <*> alignment exceptions 
e4377,generating <*> 
e4377,generating <*> 
e4377,generating <*> 
e2325,CE sym <*> at <*> mask 0x<*> 
e2288,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr. 
e6476,Node card VPD check: U11 node in processor card slot J18 do not match. VPD ecid 04CC81389C2FFFFF03071B7048DF found 04D780871F2FFFFF08031BD046E<*> 
e1725,<*> <*> alignment exceptions 
e4377,generating <*> 
e4377,generating <*> 
e2829,iar <*> dear <*> 
e2829,iar <*> dear <*> 
e4377,generating <*> 
e1482,ciod: Error loading <*> invalid or missing program image Permission denied 
e5455,<*> <*> point alignment exceptions 
e2288,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr. 
e3023,Error <*> packet on tree network expecting type <*> instead of type <*> (softheader=00ce22e8 e6200003 <*> <*>) PSR0=00001f01 PSR1=<*> PRXF=<*> PIXF=<*> 
e7050,Node card status: ALERT <*> ALERT <*> ALERT <*> ALERT <*> is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is <*> <*> Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. <*> error <*> is clear. MPGOOD is OK. <*> error <*> is clear. The <*>.<*> volt rail is OK. The <*>.<*> volt rail is OK. 
e1725,<*> <*> alignment exceptions 
e4377,generating <*> 
e4377,generating <*> 
e4377,generating <*> 
e4377,generating <*> 
e4377,generating <*> 
e1482,ciod: Error loading <*> invalid or missing program image Permission denied 
e2325,CE sym <*> at <*> mask 0x<*> 
e4377,generating <*> 
e2595,program interrupt: fp cr field .............<*> 
e4377,generating <*> 
e5882,instruction address: 0x00004ed<*> 
e8321,dbcr0=0x00000000 dbsr=0x00000000 ccr0=0x<*> 
e2144,data storage interrupt 
e2307,problem state (<*>=sup<*>=usr).......<*> 
e1268,ciod: <*> <*> <*> treeaddr <*> sent unrecognized message 0xffffffff 
e1607,instruction cache parity error corrected 
e4377,generating <*> 
e2468,data TLB error interrupt 
e2325,CE sym <*> at <*> mask 0x<*> 
e2468,data TLB error interrupt 
e2468,data TLB error interrupt 
e2288,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr. 
e2325,CE sym <*> at <*> mask 0x<*> 
e1318,rts tree/torus link training failed: wanted: B C X+ X- Y+ Y- Z+ Z- got: B C X- Y- Z+ Z- 
e4377,generating <*> 
e4377,generating <*> 
e4377,generating <*> 
e4377,generating <*> 
e2829,iar <*> dear <*> 
e3322,ciod: LOGIN <*> failed: No such file or directory 
e4377,generating <*> 
e1146,idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr* BglCtlPavTrace*) 
e8164,<*> <*> interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts <*> microseconds max time in a critical input interrupt. 
e3057,<*> <*> error(s) detected and corrected on rank <*> symbol <*> over <*> seconds 
e1482,ciod: Error loading <*> invalid or missing program image Permission denied 
e4377,generating <*> 
e1146,idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr* BglCtlPavTrace*) 
